Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
3473998520,"May 18, 2020, 7:57:00 PM",Afternoon Ride,Ride,"",7749,32.58,,,false,,,activities/3473998520.gpx,0.0,,7749.0,7072.0,32585.3,9.3,4.608,172.7,172.6,41.5,86.5,19.8,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,127.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3484695608,"May 20, 2020, 7:04:26 PM",Afternoon Ride,Ride,"",6340,32.51,,,false,,,activities/3484695608.gpx,0.0,,6340.0,6118.0,32512.3,11.1,5.314,172.9,172.8,41.5,86.5,15.9,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,110.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3494343176,"May 22, 2020, 3:37:02 PM",Lunch Ride,Ride,"",5902,32.36,,,false,,,activities/3494343176.gpx,,,5902.0,5716.0,32367.1,10.6,5.663,177.1,176.9,41.5,86.5,23.9,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3505397012,"May 24, 2020, 3:16:35 PM",Lunch Ride,Ride,"",7413,36.08,,,false,,,activities/3505397012.gpx,,,7413.0,6083.0,36082.6,12.0,5.932,118.5,149.6,41.5,86.5,20.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3532387631,"May 29, 2020, 6:31:03 PM",Afternoon Ride,Ride,"",6008,32.43,,,false,,,activities/3532387631.gpx,,,6008.0,5407.0,32438.8,11.6,5.999,163.8,163.8,41.8,86.4,16.7,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3542935041,"May 31, 2020, 3:33:57 PM",Lunch Ride,Ride,"",4231,22.91,,,false,,,activities/3542935041.gpx,,,4231.0,3837.0,22915.7,12.4,5.972,61.6,61.1,41.8,69.5,4.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3579005938,"Jun 7, 2020, 3:01:19 PM",Lunch Ride,Ride,"",6257,32.56,,,false,,,activities/3579005938.gpx,,,6257.0,5234.0,32565.5,14.7,6.222,170.0,172.0,41.5,86.5,16.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3590605060,"Jun 9, 2020, 9:44:41 PM",Afternoon Ride,Ride,"",6035,35.87,,,false,,,activities/3590605060.gpx,,,6035.0,5629.0,35877.9,13.2,6.374,115.5,147.8,41.5,86.5,10.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3844037371,"Jul 31, 2020, 2:12:56 PM",Morning Ride,Ride,"",8310,41.49,,,false,,,activities/3844037371.gpx,,,8310.0,6861.0,41494.6,17.3,6.048,128.5,159.5,33.0,86.5,11.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3894422797,"Aug 10, 2020, 9:09:01 PM",Afternoon Ride,Ride,"",1630,8.55,,,false,,,activities/3894422797.gpx,,,1630.0,1619.0,8554.2,10.3,5.284,73.5,76.5,41.5,86.5,10.9,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3922941965,"Aug 16, 2020, 3:54:52 PM",Lunch Ride,Ride,"",5440,22.91,,,false,,,activities/3922941965.gpx,,,5440.0,4598.0,22916.1,16.2,4.984,54.5,54.6,33.0,70.4,9.9,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3996334947,"Sep 1, 2020, 1:38:28 PM",Morning Ride,Ride,"",6753,21.91,,,false,,,activities/3996334947.gpx,,,6753.0,5245.0,21913.4,10.0,4.178,108.4,108.7,-0.7,20.7,6.7,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5638585669,"Jul 16, 2021, 9:23:18 PM",Afternoon Ride,Ride,"",3546,13.36,,,false,,,activities/5638585669.gpx,,,3546.0,3057.0,13363.4,11.9,4.371,36.1,36.1,52.9,70.2,6.4,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.769,,,,,,,,,,,,,,,,,,""
5665979238,"Jul 21, 2021, 10:26:32 PM",Evening Ride,Ride,,1568,6.71,,,false,,,activities/5665979238.gpx,,,1568.0,1563.0,6717.6,14.2,4.298,21.4,14.0,52.9,70.2,5.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.284,,,,,,,,,,,,,,,,,,""
5666101009,"Jul 21, 2021, 10:57:59 PM",Evening Ride,Ride,,1931,7.50,,,false,,,activities/5666101009.gpx,,,1931.0,1724.0,7507.2,9.2,4.355,16.8,22.5,52.9,70.2,4.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.888,,,,,,,,,,,,,,,,,,""
5761466525,"Aug 8, 2021, 11:11:38 PM",Evening Ride,Ride,,3330,14.92,,,false,,,activities/5761466525.gpx,,,3330.0,3293.0,14927.3,10.6,4.533,42.3,41.0,42.1,61.7,4.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.483,,,,,,,,,,,,,,,,,,""
9778627858,"Sep 3, 2023, 10:37:32 PM",Evening Ride,Ride,,2720,10.49,,,false,,,activities/9778627858.gpx,,,2720.0,2504.0,10491.3,12.626,4.19,42.0,41.0,39.1,52.5,10.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.857,0.0,,,,,,,,,,,,,,,,,""
10308981823,"Dec 1, 2023, 12:18:47 AM",Afternoon Run,Run,"",746,2.71,,,false,,,activities/10308981823.gpx,,,746.0,746.0,2713.5,4.86,3.637,0.0,0.0,0.3,1.7,1.7,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2714.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.637,0.0,,,,,,,,,,,,,,,,,""
10540665513,"Jan 11, 2024, 11:24:10 PM",Afternoon Run,Run,"",837,2.83,,,false,,,activities/10540665513.gpx,,,837.0,837.0,2831.3,4.72,3.383,2.9,0.0,0.1,3.1,3.3,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2839.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.383,0.0,,,,,,,,,,,,,,,,,""
10790956111,"Feb 19, 2024, 12:55:26 AM",Shores run,Run,"",927,3.48,,,false,,,activities/10790956111.gpx,,,927.0,927.0,3485.9,5.02,3.76,2.0,119.6,3.4,121.3,5.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3309.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.76,0.0,,,,,,,,,,,,,,,,,""
10817559109,"Feb 22, 2024, 8:10:11 PM",Coronado to border 🇲🇽,Ride,"",17099,47.14,,,false,,,activities/10817559109.gpx,,,17099.0,12849.0,47141.9,6.632,3.669,65.9,65.9,2.1,16.5,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.757,0.0,,,,,,,,,,,,,,,,,media/CF10CACC-B3F8-44EE-B5C2-71BD2A06E7C9.jpg|media/CAC69172-1093-4A4A-B98E-039C6A78AEB1.jpg|media/3E9D651C-08CD-44B2-A848-91B154CF3921.jpg
10892381798,"Mar 5, 2024, 1:57:10 AM",Afternoon Run,Run,Why isn’t spindrift public 😢 ,1060,4.03,,,false,,,activities/10892381798.gpx,,,1060.0,1060.0,4033.9,5.58,3.806,0.0,120.2,3.4,123.6,9.4,-2.9,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3861.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.806,0.0,,,,,,,,,,,,,,,,,""
10926842900,"Mar 10, 2024, 2:00:42 AM",Evening Run,Run,Zubin’s a fatass,874,3.34,,,false,,,activities/10926842900.gpx,,,874.0,874.0,3345.5,5.84,3.828,2.0,122.0,3.5,123.6,8.6,-3.5,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3173.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.828,0.0,,,,,,,,,,,,,,,,,media/83FA5B13-4903-466B-9669-32D094B49172.jpg|media/C580ADFC-E193-47DA-AD79-2E7E77A633D8.jpg|media/52B93AC0-7760-4BAF-A03B-971C69FF02F0.jpg
10947807698,"Mar 13, 2024, 2:05:54 AM",First mile attempt,Run,"",370,1.62,,,false,,,activities/10947807698.gpx,,,370.0,370.0,1622.7,5.84,4.386,9.1,18.9,101.3,117.7,5.4,-0.6,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1619.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.386,0.0,,,,,,,,,,,,,,,,,""
11194808309,"Apr 16, 2024, 1:18:36 PM",Morning Run to group run,Run,"",500,1.65,,,false,,,activities/11194808309.gpx,,,500.0,452.0,1650.7,5.26,3.652,3.2,6.2,118.5,124.8,2.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1647.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.301,0.0,,,,,,,,,,,,,,,,,""
11250811211,"Apr 24, 2024, 1:58:52 AM",Evening Run,Run,"",630,2.22,,,false,,,activities/11250811211.gpx,,,630.0,630.0,2226.0,5.68,3.533,0.0,111.9,3.0,115.3,3.4,-5.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2160.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.533,1381.5,,,,,,,,,,,,,,,,,media/7CBCD480-C35A-41B4-9AFC-7DD4BA9B87E6.jpg|media/D6619F35-3FFD-4AD3-A115-0703E44C11C9.jpg
11287949721,"Apr 29, 2024, 2:28:10 AM",Calm Gliderport,Run,"",843,3.22,,,false,,,activities/11287949721.gpx,,,843.0,843.0,3222.4,5.32,3.823,17.9,23.9,99.3,119.1,4.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3225.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.823,1544.7,,,,,,,,,,,,,,,,,""
