Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
11024267256,"Mar 23, 2024, 10:17:43 PM",Afternoon Run,Run,,1721,4.60,,,false,,,activities/11024267256.gpx,,,1721.0,1719.0,4608.6,3.668,2.681,9.4,9.7,201.8,208.2,3.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4614.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.678,0.0,,,,,,,,,,,,,,,,,""
11044882521,"Mar 26, 2024, 9:37:14 PM",Afternoon Run,Run,,1920,4.83,,,false,,,activities/11044882521.gpx,,,1920.0,1920.0,4831.7,3.554,2.517,11.5,11.6,201.9,210.3,4.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4839.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.517,0.0,,,,,,,,,,,,,,,,,""
11051414227,"Mar 27, 2024, 8:38:39 PM",Afternoon Run,Run,,1909,4.82,,,false,,,activities/11051414227.gpx,,,1909.0,1909.0,4827.8,4.002,2.529,11.5,11.6,201.9,210.3,3.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4835.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.529,0.0,,,,,,,,,,,,,,,,,""
11064975376,"Mar 29, 2024, 10:10:11 PM",Afternoon Run,Run,,531,1.61,,,false,,,activities/11064975376.gpx,,,531.0,531.0,1613.3,4.536,3.038,3.1,3.3,202.1,205.4,1.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1612.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.038,0.0,,,,1448.0,,,,,,,,,,,,,""
11065030225,"Mar 29, 2024, 10:21:35 PM",Afternoon Run,Run,,585,1.61,,,false,,,activities/11065030225.gpx,,,585.0,585.0,1615.9,4.824,2.762,2.8,2.3,202.5,205.4,3.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1621.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.762,0.0,,,,1598.0,,,,,,,,,,,,,""
11085879325,"Apr 1, 2024, 6:42:57 PM",Lunch Run,Run,,2585,6.44,,,false,,,activities/11085879325.gpx,,,2585.0,2486.0,6443.3,4.05,2.592,52.6,54.7,111.8,135.9,8.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6501.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.493,405.4,,,,6638.0,,,,,,,,,,,,,""
11100468045,"Apr 3, 2024, 7:17:49 PM",Lunch Run,Run,,2037,4.83,,,false,,,activities/11100468045.gpx,,,2037.0,1887.0,4837.2,3.692,2.563,39.8,43.2,111.8,135.9,8.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4877.2,1712170752.0,1.0,20.0,19.8,12.6,0.62,1020.9,3.2,4.9,269.0,0.0,1712151168.0,1712196608.0,0.875,,,0.0,1.0,0.04,24980.0,8.0,,,,,0.0,2.375,257.7,,,,4982.0,,,,,,,,,,,,,""
11109040207,"Apr 5, 2024, 1:55:39 AM",Evening Run,Run,,1202,3.22,,,false,,,activities/11109040207.gpx,,,1202.0,1117.0,3224.7,4.168,2.887,18.5,20.7,111.8,123.6,9.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3238.8,1712278784.0,3.0,14.3,13.8,9.4,0.72,1012.8,4.8,7.4,281.0,0.0,1712237568.0,1712283136.0,0.875,,,0.0,1.0,0.91,20824.0,0.0,,,,,0.0,2.683,0.0,,,,2952.0,,,,,2.9,,,,,,,,""
11123313596,"Apr 7, 2024, 1:53:37 AM",Evening Run,Run,,2417,6.44,,,false,,,activities/11123313596.gpx,,,2417.0,2413.0,6440.2,4.048,2.669,49.9,61.2,111.8,135.9,7.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6483.8,1712451584.0,1.0,14.4,13.4,5.2,0.54,1021.9,3.4,5.0,293.0,0.0,1712410240.0,1712455936.0,0.875,,,0.0,1.0,0.02,29267.0,0.0,,,,,0.0,2.665,294.7,,,,6386.0,,,,,2.687,,,,,,,,""
11199538799,"Apr 17, 2024, 1:49:22 AM",first run after being sick,Run,lungs were rough,1313,3.23,,,false,,,activities/11199538799.gpx,,,1313.0,1244.0,3233.1,4.658,2.599,20.7,20.9,111.8,123.8,7.8,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3254.0,1713315584.0,1.0,18.2,17.9,12.0,0.67,1015.5,3.0,6.4,300.0,0.0,1713273472.0,1713320448.0,0.25,,,0.0,1.0,0.04,24483.0,1.0,,,,,0.0,2.462,22.5,,,,3190.0,,,,,2.616,,,,,,,,""
11206402415,"Apr 17, 2024, 11:36:41 PM",post beach run,Run,could not get through this without dying coughing,1292,3.22,,,false,,,activities/11206402415.gpx,,,1292.0,1173.0,3221.6,3.671,2.746,18.6,18.6,111.8,123.5,8.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3233.8,1713394816.0,3.0,19.1,18.7,11.4,0.61,1014.7,3.4,5.5,278.0,0.0,1713359744.0,1713406848.0,0.375,,,0.0,1.0,0.66,23876.0,3.0,,,,,0.0,2.493,129.0,,,,3030.0,,,,,2.757,,,,,,,,""
11293540960,"Apr 28, 2024, 7:58:56 PM",Lunch Run,Run,,1365,2.68,,,false,,,activities/11293540960.gpx,,,1365.0,1052.0,2684.8,3.604,2.552,17.1,17.1,10.7,123.2,12.2,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2574.2,1714330752.0,1.0,20.5,20.0,11.5,0.56,1015.8,3.3,4.5,258.0,0.0,1714309376.0,1714357760.0,0.625,,,0.0,1.0,0.0,25096.0,9.0,,,,,0.0,1.967,0.0,,,,2736.0,,,,,2.447,,,,,,,,""
11293639143,"Apr 29, 2024, 7:43:01 PM",Lunch Run,Run,,984,2.30,,,false,,,activities/11293639143.gpx,,,984.0,808.0,2302.3,4.156,2.849,14.6,14.6,111.9,123.9,20.8,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2320.4,1714417152.0,1.0,20.8,20.5,12.5,0.59,1012.9,3.2,4.6,270.0,0.0,1714395776.0,1714444160.0,0.625,,,0.0,1.0,0.0,27099.0,9.0,,,,,0.0,2.34,132.3,,,,2082.0,,,,,2.872,,,,,,,,""
11325337209,"May 3, 2024, 8:56:00 PM",Afternoon Run,Run,,3824,7.26,,,false,,,activities/11325337209.gpx,,,3824.0,3661.0,7265.8,6.134,1.985,61.2,61.2,111.8,135.9,8.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7348.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.9,302.4,,,,7310.0,,,,,2.007,,,,,,,,""
11349529517,"May 7, 2024, 12:51:45 AM",Evening Run,Run,,1653,3.22,,,false,,,activities/11349529517.gpx,,,1653.0,1110.0,3224.2,4.898,2.905,21.1,21.1,99.9,123.4,30.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3268.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.951,494.8,,,,2868.0,,,,,2.945,,,,,,,,""
11358108015,"May 8, 2024, 2:24:02 AM",Night Run,Run,,8616,5.86,,,false,,,activities/11358108015.gpx,,,8616.0,7845.0,5862.1,9.934,0.747,32.3,32.3,97.5,128.1,30.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5923.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.68,506.6,,,,5016.0,,,,,0.755,,,,,,,,""
11428704652,"May 17, 2024, 1:58:09 AM",Evening Run,Run,,3536,3.22,,,false,,,activities/11428704652.gpx,,,3536.0,1062.0,3220.0,5.332,3.032,13.3,13.3,111.8,123.8,24.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3234.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.911,132.2,,,,2816.0,,,,,3.046,,,,,,,,""
11451891480,"May 20, 2024, 1:24:16 AM",Evening Run,Run,,1703,3.27,,,false,,,activities/11451891480.gpx,,,1703.0,1094.0,3275.0,5.558,2.994,14.8,14.8,111.8,124.8,22.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3302.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.923,131.7,,,,2864.0,,,,,3.019,,,,,,,,""
11675788885,"Jun 6, 2024, 5:28:21 AM",Night Run,Run,,1878,3.84,,,false,,,activities/11675788885.gpx,,,1878.0,1778.0,3845.8,5.14,2.163,28.7,28.7,112.6,126.9,44.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3890.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.048,266.8,,,,3872.0,,,,,2.188,,,,,,,,""
