Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
9656661106,"Aug 16, 2023, 2:42:23 AM",evening ride 🚲,Ride,,1793,7.45,,,FALSE,,,activities/9656661106.gpx,,,1793.0,1742.0,7453.5,11.232,4.279,39.6,36.8,8.5,18.7,7.4,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.157,0.0,,,,,,,,,,,,,,,,,
9695595001,"Aug 22, 2023, 2:14:31 AM",karina + aaryan 🚲,Ride,,2213,9.68,,,FALSE,,,activities/9695595001.gpx,,,2213.0,2126.0,9685.0,9.94,4.556,52.1,51.7,6.7,18.1,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,9775.1,1692669568.0,1.0,22.4,23.1,17.1,0.72,1014.5,2.1,3.9,222.0,0.0,1692623872.0,1692671488.0,0.125,,,0.79,5.0,0.11,26042.4,0.0,,,,,0.0,4.376,0.0,,,,,,,,,,,,,,,,,
9791329106,"Sep 5, 2023, 9:22:37 PM",Afternoon Run,Run,,1456,3.28,,,FALSE,,,activities/9791329106.gpx,,,1456.0,1338.0,3282.7,4.436,2.453,12.8,12.8,10.2,18.1,7.7,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3304.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.255,0.0,,,,3376.0,,,,,,,,,,,,,
12938724162,"Nov 19, 2024, 6:39:46 PM",BEACH RUN,Run,more of a walk bc i got kinda tired oops,1129,1.72,,,FALSE,,,activities/12938724162.gpx,,,1129.0,590.0,1726.8,5.08,2.927,3.0,45.7,86.2,130.8,14.5,-2.6,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1684.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.529,406.1,,,,1518.0,,,,,2.854,,,,,,,,media/E6629F20-CBD9-4B9F-B19C-39C4A1E75857.jpg
12953097650,"Nov 21, 2024, 5:51:01 PM",karina + arshia morning run 🏃🏽‍♀️❤️‍🔥☀️,Run,gliderpoooort,1754,2.60,,,FALSE,,,activities/12953097650.gpx,,,1754.0,1718.0,2600.0,4.63,1.513,60.3,60.3,59.9,123.0,35.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2887.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.482,877.2,,,,2862.0,,,,,1.681,,,,,,,,media/EB3FAF1A-DA56-47A5-B176-90A804D8731F.jpg
12975450262,"Nov 24, 2024, 5:28:44 PM",SIX MILESSS ☀️🏃🏽‍♀️❤️‍🔥morning run with umang and yashvi,Run,[strava://athletes/148107609/11]Umang Patel [strava://athletes/76674881/17]Yashvi Srivastava,7161,9.90,,,FALSE,,,activities/12975450262.gpx,,,7161.0,4934.0,9907.7,4.43,2.008,127.6,127.3,58.8,135.5,46.8,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,10238.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.384,1460.6,,,,10160.0,,,,,2.075,,,,,,,,media/ECA2F50F-19DA-4F86-AEA1-1967093F0AB5.jpg|media/7865BD39-82C5-40B1-AAB2-82C387F8661D.jpg|media/D28448F8-61BF-4F51-9B11-AEB30E28255E.jpg
13138666293,"Dec 17, 2024, 10:56:20 PM",run thru my cityyy,Run,,4419,4.78,,,FALSE,,,activities/13138666293.gpx,,,4419.0,1658.0,4788.0,4.94,2.888,28.6,28.6,8.5,17.9,28.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4842.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.084,0.0,,,,4338.0,,,,,2.92,,,,,,,,
13144095743,"Dec 18, 2024, 7:16:48 PM",me before i eat taco bell so it cancels out🏃🏽‍♀️,Run,,542,1.70,,,FALSE,,,activities/13144095743.gpx,,,542.0,542.0,1699.6,4.3,3.136,2.6,2.6,14.9,17.9,4.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1702.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.136,0.0,,,,1436.0,,,,,3.142,,,,,,,,
13171420314,"Dec 22, 2024, 11:06:32 PM",another day another run :),Run,,1195,3.22,,,FALSE,,,activities/13171420314.gpx,,,1195.0,1016.0,3219.8,4.92,3.169,8.5,8.0,9.2,18.2,17.3,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3242.1,1734908416.0,3.0,18.5,17.2,11.1,0.62,1017.8,2.4,4.5,242.0,0.0,1734879104.0,1734914816.0,0.625,,,0.0,1.0,1.0,29059.0,1.0,,,,,0.0,2.694,0.0,,,,2634.0,,,,,,,2634.0,,,,,,
13190712722,"Dec 26, 2024, 3:55:23 AM",very short xmas jog to mark day 1 in kauai 🌺🎅🏾,Run,,1014,0.98,,,FALSE,,,activities/13190712722.gpx,,,1014.0,336.0,987.4,6.64,2.939,17.4,22.2,58.8,72.7,16.8,-0.4,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1043.3,1735181952.0,1.0,24.5,24.3,18.7,0.7,1017.5,5.1,7.2,112.0,0.0,1735146880.0,1735185664.0,0.875,,,0.0,1.0,0.25,34293.7,0.0,,,,,0.0,0.974,0.0,,,,816.0,,,,,3.105,,,,,,,,media/AD455EBA-ABF2-4889-AB6C-84BB24E58A9F.jpg|media/8F9AD0F5-F589-4B71-9661-F5334B502E16.jpg
