Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
9985708321,"Oct 6, 2023, 6:00:45 AM",Night Run,Run,,1995,4.77,,,false,,,activities/9985708321.gpx,,,1995.0,1189.0,4775.7,7.246,4.017,43.1,42.7,104.9,135.0,27.6,0.0,,,,,,,,,382.0,,,,,,,,,,,,,,,,0.0,,1.0,4892.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.394,44.7,,,,3098.0,,,,,,,,,,,,,""
10004335831,"Oct 8, 2023, 7:52:25 AM",Night Run,Run,,79982,3.69,,,false,,,activities/10004335831.gpx,,,79982.0,1110.0,3695.5,5.19,3.329,20.4,20.5,119.1,129.1,31.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3723.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.046,0.0,,,,,,,,,,,,,,,,,""
10004471875,"Oct 9, 2023, 6:07:33 AM",Night Run,Run,,1155,3.95,,,false,,,activities/10004471875.gpx,,,1155.0,1019.0,3954.0,5.786,3.88,23.5,23.7,119.5,135.0,9.3,0.0,,,,,,,,,311.0,,,,,,,,,,,,,,,,0.0,,1.0,3987.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.423,42.6,,,,2620.0,,,,,,,,,,,,,""
10032083826,"Oct 13, 2023, 6:48:45 AM",Morning Run,Run,,36914,4.07,,,false,,,activities/10032083826.gpx,,,36914.0,1104.0,4069.1,6.74,3.686,40.7,28.8,104.4,134.9,11.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4162.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.11,39.3,,,,2944.0,,,,,,,,,,,,,""
10047477035,"Oct 16, 2023, 7:13:58 AM",Night Run,Run,,2317,3.67,,,false,,,activities/10047477035.gpx,,,2317.0,879.0,3678.0,11.584,4.184,17.9,16.3,118.9,126.1,6.1,0.0,,,,,,,,,289.0,,,,,,,,,,,,,,,,0.0,,1.0,3700.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.587,55.3,,,,2312.0,,,,,,,,,,,,,""
10308940108,"Nov 27, 2023, 11:52:58 PM",Afternoon Run,Run,,260699,2.82,,,false,,,activities/10308940108.gpx,,,260699.0,794.0,2827.2,5.474,3.561,0.0,0.5,0.5,2.1,5.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2830.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.011,0.0,,,,2004.0,,,,,,,,,,,,,""
10350953054,"Dec 1, 2023, 12:18:48 AM",Night Run,Run,,746,2.73,,,false,,,activities/10350953054.gpx,,,746.0,746.0,2733.5,5.309,3.664,0.0,0.7,0.3,1.6,5.9,0.0,,,,,,,,,213.0,,,,,,,,,,,,,,,,0.0,,1.0,2735.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.664,0.0,,,,1912.0,,,,,,,,,,,,,""
10540687682,"Jan 11, 2024, 11:24:07 PM",Afternoon Run,Run,,854,2.82,,,false,,,activities/10540687682.gpx,,,854.0,834.0,2823.8,4.973,3.386,2.9,1.1,0.1,3.1,3.1,0.1,,,,,,,,,220.0,,,,,,,,,,,,,,,,0.0,,1.0,2813.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.307,0.0,,,,,,,,,,,,,,,,,""
10850279165,"Feb 27, 2024, 8:02:34 PM",Lunch Run,Run,,2294,3.77,189.0,40,false,,,activities/10850279165.gpx,,,2294.0,962.0,3770.9,6.704,3.92,0.0,111.3,1.2,114.1,8.9,-3.0,,,,,,166.0,,,291.0,,,40.0,,,,,,,,,,,,,0.0,,1.0,3729.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.644,3230.0,,,,4410.0,,,,,,,,,,,,,""
10869744804,"Mar 1, 2024, 8:05:20 PM",Lunch Run,Run,,1391,2.76,188.0,38,false,,,activities/10869744804.gpx,,,1391.0,708.0,2762.8,6.003,3.902,0.0,112.9,0.0,113.5,3.5,-4.1,,,,,,173.0,,,213.0,,,38.0,,,,,,,,,,,,,0.0,,1.0,2727.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.986,2240.9,,,,5324.0,,,,,,,,,,,,,""
10892464441,"Mar 5, 2024, 1:57:11 AM",Afternoon Run,Run,,1080,4.03,178.0,51,false,,,activities/10892464441.gpx,,,1080.0,1075.0,4038.7,5.759,3.757,0.0,120.2,3.4,123.6,10.9,-2.9,,,,,,169.0,,,301.0,,,51.0,,,,,,,,,,,,,0.0,,1.0,3855.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.74,0.0,,,,4848.0,,,,,,,,,,,,,""
10918520553,"Mar 8, 2024, 7:50:17 PM",Lunch Run,Run,,1139,1.99,179.0,10,false,,,activities/10918520553.gpx,,,1139.0,469.0,1997.8,5.464,4.26,2.5,113.3,-0.1,114.6,3.9,-5.6,,,,,,149.0,,,152.0,,,10.0,,,,,,,,,,,,,0.0,,1.0,1954.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.754,1428.7,,,,3992.0,,,,,,,,,,,,,""
10927014464,"Mar 10, 2024, 2:00:42 AM",Evening Run,Run,,870,3.24,182.0,37,false,,,activities/10927014464.gpx,,,870.0,859.0,3239.1,5.883,3.771,0.0,119.9,3.5,123.6,9.5,-3.7,,,,,,167.0,,,238.0,,,37.0,,,,,,,,,,,,,0.0,,1.0,3055.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.723,0.0,,,,5252.0,,,,,,,,,,,,,""
10946004077,"Mar 12, 2024, 7:43:09 PM",Lunch Run,Run,,2399,3.51,175.0,27,false,,,activities/10946004077.gpx,,,2399.0,859.0,3511.5,6.592,4.088,0.0,112.8,0.5,114.7,3.7,-3.2,,,,,,155.0,,,271.0,,,27.0,,,,,,,,,,,,,0.0,,1.0,3471.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.464,2940.8,,,,4462.0,,,,,,,,,,,,,""
11101408146,"Apr 3, 2024, 8:35:44 PM",Afternoon Surfing,Surfing,,9574,19.84,179.0,159,false,,,activities/11101408146.gpx,,,9574.0,7878.0,19843.9,33.017,2.519,3.6,3.4,-0.1,6.4,30.5,0.0,,,,,179.0,148.0,,,,,,159.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.073,0.0,,,,,,,,,,,,,,,,,""
11122157425,"Apr 6, 2024, 8:34:15 PM",Afternoon Run,Run,Never running again,1205,2.54,173.0,28,false,,,activities/11122157425.gpx,,,1205.0,580.0,2541.9,7.717,4.383,0.0,112.2,1.1,114.6,3.0,-4.5,,,,,173.0,172.0,,,194.0,,,28.0,,,,,,,,,,,0.0,,0.0,,1.0,2489.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.109,1995.0,,,,2462.0,,,,,4.292,,,,,,,,media/CDA564E6-B946-4258-8F33-86F00CECA369.jpg|media/86886D0E-0BEE-47AC-8ECB-61AB198DB253.jpg|media/6FFA0575-209D-47E2-848F-1379934F9D93.jpg
11204999972,"Apr 17, 2024, 6:43:48 PM",Why is my skin purple,Run,Didn’t yak this time,897,1.98,186.0,24,false,,,activities/11204999972.gpx,,,897.0,457.0,1981.2,7.623,4.335,0.0,114.5,0.0,114.6,3.8,-6.3,,,,,186.0,177.0,,,138.0,,,24.0,,,,,,,,,,,0.0,,0.0,,1.0,1774.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.209,1477.3,,,,2264.0,,,,,3.884,,,,,,,,media/F6B9A455-11E6-4B52-BBAF-8E311AFB0688.jpg|media/D33D2313-A56D-457B-B333-600813D457D7.jpg
11205000013,"Apr 7, 2024, 6:49:58 PM",Lunch Surfing,Surfing,,3583,8.20,181.0,118,false,,,activities/11205000013.gpx,,,3583.0,3300.0,8200.4,14.187,2.485,0.0,0.0,-0.1,2.9,9.5,0.0,,,,,181.0,161.0,,,,,,118.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.289,0.0,,,,,,,,,,,,,,,,,""
11206998521,"Apr 18, 2024, 1:32:58 AM",Evening Surfing,Surfing,,4036,7.21,169.0,54,false,,,activities/11206998521.gpx,,,4036.0,3431.0,7212.9,17.748,2.102,16.3,16.3,3.2,10.4,33.1,0.0,,,,,169.0,144.0,,,,,,54.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.787,0.0,,,,,,,,,,,,,,,,,""
11250922483,"Apr 24, 2024, 1:58:52 AM",Evening Run,Run,Do NOT shotgun mid run,2176,3.24,180.0,35,false,,,activities/11250922483.gpx,,,2176.0,855.0,3239.2,6.465,3.789,0.0,111.7,3.0,115.4,9.0,-3.5,,,,,180.0,165.0,,,248.0,,,35.0,,,,,,,,,,,0.0,,0.0,,1.0,3175.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.489,2434.5,,,,4468.0,,,,,3.714,,,,,,,,media/13DF68A1-9B69-40ED-9AAE-B1852C7494E2.jpg|media/54D36BF7-C290-4E19-B098-9E5EABA25640.jpg|media/7B2C92BD-B987-44A2-810C-24B462C72C33.jpg
11341631413,"May 5, 2024, 8:30:04 PM",Afternoon Run,Run,,827,3.30,194.0,39,false,,,activities/11341631413.gpx,,,827.0,824.0,3303.7,6.056,4.009,0.0,0.0,3.3,119.8,5.3,-3.5,,,,,194.0,171.0,,,244.0,,,39.0,,,,,,,,,,,,,0.0,,1.0,3123.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.995,0.0,,,,3740.0,,,,,3.79,,,,,,,,""
11397821890,"May 13, 2024, 3:33:47 AM",Evening Run,Run,Alex Frederick is a bum who tapped out after 3 miles 😹😹,2646,6.56,190.0,104,false,,,activities/11397821890.gpx,,,2646.0,1862.0,6563.6,6.76,3.525,53.2,53.7,99.1,130.3,15.3,0.0,,,,,190.0,175.0,,,516.0,,,104.0,,,,,,,,,,,0.0,,0.0,,1.0,6617.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.481,75.3,,,,5136.0,,,,,3.554,,,,,,,,media/803096DD-0150-4426-A4F8-13FB2CF6B82B.jpg|media/D117BF6B-EF82-4A58-8F62-6DEAE8626C91.jpg
11405198137,"May 14, 2024, 12:54:45 AM",Afternoon Surfing,Surfing,If anyone wants to fund me a new board I will give you 1% of my pro surfing earnings,5857,10.39,170.0,79,false,,,activities/11405198137.gpx,,,5857.0,4543.0,10392.6,16.466,2.288,3.5,3.5,0.0,3.7,7.7,0.0,,,,,170.0,145.0,,,,,,79.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.774,0.0,,,,,,,,,,,,,,,,,media/5524C582-D12A-4CF5-B1A4-84002037B19D.jpg
11497072602,"May 25, 2024, 7:51:58 PM",Lunch Surfing,Surfing,"",6371,10.57,176.0,73,false,,,activities/11497072602.gpx,,,6371.0,6193.0,10576.0,10.224,1.708,3.3,3.3,4.4,7.7,7.3,0.0,,,,,176.0,137.0,,,,,,73.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.66,0.0,,,,,,,,,,,,,,,,,""
11553025316,"Jun 2, 2024, 7:35:52 AM",We could be back,Run,"",2289,5.86,194.0,89,false,,,activities/11553025316.gpx,,,2289.0,1555.0,5867.2,7.19,3.773,49.2,51.0,97.4,135.9,19.5,0.0,,,,,194.0,178.0,,,461.0,,,89.0,,,,,,,,,,,0.0,,0.0,,1.0,5905.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.563,154.2,,,,4276.0,,,,,3.798,,,,,,,,media/62158E38-2C6A-48BC-903E-656F0D53463F.mp4|media/5A75E4DE-52FE-4712-BD43-B7372E34F9F4.jpg
11568243050,"Jun 4, 2024, 3:02:40 AM",Calm luh run,Run,Zubin’s pace not mine,3981,7.88,183.0,135,false,,,activities/11568243050.gpx,,,3981.0,2488.0,7887.2,5.1,3.17,56.8,71.4,101.8,135.9,22.8,-0.2,,,,,183.0,173.0,,,615.0,,,135.0,,,,,,,,,,,0.0,,0.0,,1.0,7879.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.981,149.1,,,,8190.0,,,,,3.167,,,,,,,,media/B74CE035-3BC2-4D46-8CBC-359E6DFEC70F.jpg|media/7AE6C3B6-7744-47A3-BE7F-9055528645DA.jpg|media/35930EC8-BA2B-480E-9562-2B56B51976E9.jpg
11615637732,"Jun 9, 2024, 10:16:37 PM",Afternoon Surfing,Surfing,Sub hour sesh due to 8 foot waves,3193,4.82,173.0,46,false,,,activities/11615637732.gpx,,,3193.0,2522.0,4821.3,10.866,1.912,5.3,4.9,-0.1,7.9,44.8,0.0,,,,,173.0,147.0,,,,,,46.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.51,0.0,,,,,,,,,,,,,,,,,media/3B6FB7EA-0D40-48A1-972B-5ACA5B57B233.jpg|media/B721E51B-F8B5-4CFD-A202-0F066CC2610B.jpg|media/C4C66D38-7CD3-418D-9B15-4DD56AD966D3.jpg
11654553674,"Jun 15, 2024, 2:59:10 AM",Sum slight,Run,Last blacks run for a min 🥺,1784,4.04,185.0,43,false,,,activities/11654553674.gpx,,,1784.0,1005.0,4042.5,6.617,4.022,0.0,113.5,-0.6,113.4,4.5,-2.8,,,,,185.0,166.0,,,311.0,,,43.0,,,,,,,,,,,0.0,,0.0,,1.0,3984.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.266,3499.8,,,,3518.0,,,,,3.965,,,,,,,,media/80AE6BA7-BAC8-4E6D-9B9C-3D35789873E7.jpg|media/5C07086F-2F5E-4EF8-BEE7-F84F6240C96F.jpg|media/03439370-E231-477F-BC69-0019E6CFDF8B.jpg
11686712404,"Jun 19, 2024, 5:50:02 AM",Too hot to run in day so here we are,Run,“Can we slow down?” -Cole,758,2.96,193.0,50,false,,,activities/11686712404.gpx,,,758.0,758.0,2960.9,6.676,3.906,0.0,3.8,183.5,187.4,5.0,-0.1,,,,,193.0,183.0,,,229.0,,,50.0,,,,,,,,,,,0.0,,0.0,,1.0,2939.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.906,0.0,,,,2304.0,,,,,3.878,,,,,,,,media/9C12E6AB-698B-4F69-87C6-E1942FC3F2AB.jpg|media/8C32D774-6DE9-42B2-A510-4141BAD9932E.jpg|media/79DF633F-0D1E-4DF5-BAD7-8224793BB09B.jpg
11769471786,"Jun 29, 2024, 4:39:25 PM",Lunch Ride,Ride,Elite biker in the making,4037,24.84,167.0,48,false,,,activities/11769471786.gpx,,,4037.0,3285.0,24842.2,10.642,7.562,78.6,78.4,180.2,235.8,24.7,0.0,,,,,167.0,140.0,,112.0,409.0,,,48.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.154,32.0,,,,,,,,,,,,,,,,,media/2D7513E6-C8B5-4040-8D53-DF398EA80B9A.jpg|media/F0C493B3-3A63-42F8-80AB-56D48ECB5DC1.jpg|media/4B2B6056-340E-45AD-9825-FE038B610576.jpg
