Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
11381208772,"May 11, 2024, 1:28:22 AM",Evening Run,Run,,1073,3.80,,,false,Tired I need to run more,,activities/11381208772.gpx,,,1073.0,1073.0,3799.2,5.728,3.541,36.7,36.7,121.0,135.7,6.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3869.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.541,0.0,,,,2786.0,,,,,3.606,,,,,,,,""
11389803651,"May 12, 2024, 3:14:45 AM",Evening Campus Loop,Run,,2663,8.54,,,false,"Could’ve ran a little faster, not tired enough",,activities/11389803651.gpx,,,2663.0,2663.0,8546.1,5.418,3.209,75.8,75.8,99.1,130.3,12.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8667.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.209,135.7,,,,6776.0,,,,,3.255,,,,,,,,""
11504890474,"May 26, 2024, 7:11:30 PM",I am out of shape,Run,,603,2.32,,,false,,,activities/11504890474.gpx,,,603.0,603.0,2325.9,5.134,3.857,25.2,25.2,122.1,135.9,5.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2383.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.857,138.4,,,,1608.0,,,,,3.953,,,,,,,,""
11512346048,"May 27, 2024, 8:22:14 PM",Finished the Run this time,Run,,1389,4.83,,,false,,,activities/11512346048.gpx,,,1389.0,1389.0,4835.0,4.528,3.481,43.1,43.1,120.5,135.9,6.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4890.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.481,279.7,,,,3676.0,,,,,3.521,,,,,,,,""
11529505123,"May 30, 2024, 2:08:43 AM",Little better,Run,,1374,4.83,,,false,,,activities/11529505123.gpx,,,1374.0,1374.0,4833.3,5.374,3.518,47.6,47.6,115.0,135.9,5.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4910.0,1717034368.0,1.0,17.0,16.9,12.8,0.76,1015.1,2.2,4.2,258.0,0.0,1716986496.0,1717037440.0,0.625,,,0.0,1.0,0.36,23410.0,0.0,,,,,0.0,3.518,278.2,,,,3530.0,,,,,3.574,,,,,,,,""
12505391094,"Sep 26, 2024, 1:41:31 AM",First run back,Run,,1406,5.03,,,false,,,activities/12505391094.gpx,,,1406.0,1406.0,5030.8,4.616,3.578,36.3,36.3,96.8,135.7,5.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5047.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.578,138.9,,,,3662.0,,,,,3.59,,,,,,,,""
12520179351,"Sep 28, 2024, 3:42:05 AM",Pace getting better,Run,,1159,4.45,,,false,,,activities/12520179351.gpx,,,1159.0,1159.0,4454.7,5.53,3.844,39.1,39.1,121.3,135.7,6.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4517.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.844,283.8,,,,3058.0,,,,,3.898,,,,,,,,""
12576107156,"Oct 5, 2024, 12:02:49 AM",Afternoon Run,Run,,981,3.81,,,false,,,activities/12576107156.gpx,,,981.0,977.0,3811.6,5.526,3.901,26.7,26.7,104.8,135.7,6.2,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3814.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.885,123.0,,,,2610.0,,,,,3.904,,,,,,,,""
12584907408,"Oct 5, 2024, 9:47:02 PM",Afternoon Run,Run,,1987,6.88,,,false,,,activities/12584907408.gpx,,,1987.0,1987.0,6879.1,5.75,3.462,72.5,72.5,96.8,135.7,5.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6990.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.462,138.9,,,,5102.0,,,,,3.518,,,,,,,,""
12800942923,"Nov 2, 2024, 12:21:48 AM",Evening Run,Run,,3679,7.77,,,false,,,activities/12800942923.gpx,,,3679.0,2205.0,7771.4,5.56,3.524,73.7,73.7,101.5,135.5,7.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7878.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.112,289.8,,,,5910.0,,,,,3.573,,,,,,,,""
13278046677,"Jan 6, 2025, 4:56:36 AM",Night Run,Run,,1389,4.79,,,false,,,activities/13278046677.gpx,,,1389.0,1389.0,4790.7,4.72,3.449,42.8,42.8,120.0,135.5,5.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4845.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.449,282.5,,,,3686.0,,,,,3.489,,,,,,,,""
13366877330,"Jan 16, 2025, 1:24:57 AM",Sunset Run,Run,,1885,5.01,,,false,,,activities/13366877330.gpx,,,1885.0,1320.0,5010.8,5.48,3.796,50.0,50.0,118.3,135.5,46.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5095.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.658,279.4,,,,3572.0,,,,,3.861,,,,,,,,media/C18F184A-0471-457C-9833-E90FBC89AE2D.jpg
13423858436,"Jan 22, 2025, 2:37:50 PM",Sunrise Run,Run,w pat and barg,3266,6.98,,,false,,,activities/13423858436.gpx,,,3266.0,2213.0,6980.6,4.26,3.154,71.2,71.2,103.9,135.5,39.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7087.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.137,283.4,,,,5992.0,,,,,3.202,,,,,,,,media/3AB8AF53-70C8-4190-8041-A93AEC98DD20.jpg
13488864847,"Jan 30, 2025, 12:14:50 AM",Trail Blazers Run,Run,,1412,4.54,,,false,,,activities/13488864847.gpx,,,1412.0,1339.0,4547.9,5.7,3.396,49.9,49.9,101.1,129.9,12.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4659.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.221,0.0,,,,3608.0,,,,,3.48,,,,,,,,""
13505917232,"Feb 1, 2025, 2:00:27 AM",Evening Run,Run,,1426,4.83,,,false,,,activities/13505917232.gpx,,,1426.0,1269.0,4830.3,5.12,3.806,43.3,43.3,120.7,135.5,7.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4888.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.387,289.2,,,,3466.0,,,,,3.852,,,,,,,,""
13552004478,"Feb 6, 2025, 12:53:49 AM",Afternoon Run but I forgot to record first 3 miles,Run,"",1479,2.79,,,false,,,activities/13552004478.gpx,,,1479.0,877.0,2795.6,5.22,3.188,32.0,32.8,98.1,131.1,11.8,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2843.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.89,419.1,,,,2286.0,,,,,3.242,,,,,,,,media/AAEF160F-CC67-4B4F-AA1A-E406307117B4.jpg
